bico,8,2,0,6,6,7,3,4
bigode,3,1,0,2,2,0,0,1
bilhete,6,2,0,2,2,1,3,2
biqu,1,1,0,2,2,1,2,2
birita,3,1,0,4,2,1,0,1
bloco,2,0,0,0,1,7,1,1
blusa,2,1,0,2,2,4,6,2
boas,8,0,0,3,3,1,2,7
boate,6,4,0,2,3,0,0,1
boba,12,11,0,1,1,0,1,10
bobagem,10,4,0,0,2,2,2,4
bobeira,17,10,0,1,2,5,4,8
bobo,22,14,1,1,5,11,5,16
boca,159,98,10,20,26,73,75,121
bocado,4,3,0,5,6,2,2,1
bocas,8,11,1,0,1,3,3,5
bode,5,0,0,13,14,10,10,5
bodocongó,0,0,0,4,0,4,0,1
bodocó,3,0,0,4,0,5,3,5
boi,27,17,4,30,13,32,34,64
boiada,9,7,1,11,4,3,2,11
boiadeiro,0,2,0,7,4,2,2,7
bois,1,0,0,3,0,2,1,3
bola,40,14,0,18,14,13,25,33
bolas,1,0,0,1,0,4,3,0
bole,9,2,0,3,9,10,7,8
bolo,1,0,0,5,8,2,3,2
bolsa,3,3,0,0,2,3,3,2
